"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Compravendes","Nombre"
"2019","2","2","Eixample","8","l'Antiga Esquerra de l'Eixample","Habitatge nou lliure",1
"2019","2","2","Eixample","9","la Nova Esquerra de l'Eixample","Habitatge nou lliure",5
"2019","2","2","Eixample","10","Sant Antoni","Habitatge nou lliure",0
"2019","2","3","Sants-Montjuïc","11","el Poble Sec","Habitatge nou lliure",3
"2019","2","3","Sants-Montjuïc","12","la Marina del Prat Vermell","Habitatge nou lliure",0
"2019","2","3","Sants-Montjuïc","13","la Marina de Port","Habitatge nou lliure",0
"2019","2","3","Sants-Montjuïc","14","la Font de la Guatlla","Habitatge nou lliure",0
"2019","2","3","Sants-Montjuïc","15","Hostafrancs","Habitatge nou lliure",1
"2019","2","3","Sants-Montjuïc","16","la Bordeta","Habitatge nou lliure",0
"2019","2","3","Sants-Montjuïc","17","Sants - Badal","Habitatge nou lliure",0
"2019","2","3","Sants-Montjuïc","18","Sants","Habitatge nou lliure",0
"2019","2","4","Les Corts","19","les Corts","Habitatge nou lliure",12
"2019","2","4","Les Corts","20","la Maternitat i Sant Ramon","Habitatge nou lliure",0
"2019","2","4","Les Corts","21","Pedralbes","Habitatge nou lliure",1
"2019","2","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","Habitatge nou lliure",0
"2019","2","5","Sarrià-Sant Gervasi","23","Sarrià","Habitatge nou lliure",1
"2019","2","5","Sarrià-Sant Gervasi","24","les Tres Torres","Habitatge nou lliure",1
"2019","2","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova","Habitatge nou lliure",7
"2019","2","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany","Habitatge nou lliure",14
"2019","2","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró","Habitatge nou lliure",4
"2019","2","6","Gràcia","28","Vallcarca i els Penitents","Habitatge nou lliure",3
"2019","2","6","Gràcia","29","el Coll","Habitatge nou lliure",1
"2019","2","6","Gràcia","30","la Salut","Habitatge nou lliure",1
