"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor","Estat"
"2019","2","3","Sants-Montjuïc","18","Sants",3730,"Usat"
"2019","2","4","Les Corts","19","les Corts",4745,"Usat"
"2019","2","4","Les Corts","20","la Maternitat i Sant Ramon",4028,"Usat"
"2019","2","4","Les Corts","21","Pedralbes",6640,"Usat"
"2019","2","5","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes",4600,"Usat"
"2019","2","5","Sarrià-Sant Gervasi","23","Sarrià",6235,"Usat"
"2019","2","5","Sarrià-Sant Gervasi","24","les Tres Torres",5203,"Usat"
"2019","2","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",5305,"Usat"
"2019","2","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",5320,"Usat"
"2019","2","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",4877,"Usat"
"2019","2","6","Gràcia","28","Vallcarca i els Penitents",3348,"Usat"
"2019","2","6","Gràcia","29","el Coll",2204,"Usat"
"2019","2","6","Gràcia","30","la Salut",4387,"Usat"
"2019","2","6","Gràcia","31","la Vila de Gràcia",4937,"Usat"
"2019","2","6","Gràcia","32","el Camp d'en Grassot i Gràcia Nova",4274,"Usat"
"2019","2","7","Horta-Guinardó","33","el Baix Guinardó",3803,"Usat"
"2019","2","7","Horta-Guinardó","34","Can Baró",3293,"Usat"
"2019","2","7","Horta-Guinardó","35","el Guinardó",3311,"Usat"
"2019","2","7","Horta-Guinardó","36","la Font d'en Fargues",3445,"Usat"
"2019","2","7","Horta-Guinardó","37","el Carmel",2502,"Usat"
"2019","2","7","Horta-Guinardó","38","la Teixonera",2349,"Usat"
"2019","2","7","Horta-Guinardó","39","Sant Genís dels Agudells",2281,"Usat"
"2019","2","7","Horta-Guinardó","40","Montbau",2683,"Usat"
"2019","2","7","Horta-Guinardó","41","la Vall d'Hebron",3804,"Usat"
"2019","2","7","Horta-Guinardó","43","Horta",2985,"Usat"
"2019","2","8","Nou Barris","44","Vilapicina i la Torre Llobeta",2669,"Usat"
"2019","2","8","Nou Barris","45","Porta",2949,"Usat"
"2019","2","8","Nou Barris","46","el Turó de la Peira",2062,"Usat"
"2019","2","8","Nou Barris","48","la Guineueta",2737,"Usat"
