"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Valor"
"2019","2","9","Sant Andreu","59","el Bon Pastor",145
"2019","2","9","Sant Andreu","60","Sant Andreu",244
"2019","2","9","Sant Andreu","61","la Sagrera",293
"2019","2","9","Sant Andreu","62","el Congrés i els Indians",217
"2019","2","9","Sant Andreu","63","Navas",371
"2019","2","10","Sant Martí","64","el Camp de l'Arpa del Clot",323
"2019","2","10","Sant Martí","65","el Clot",379
"2019","2","10","Sant Martí","66","el Parc i la Llacuna del Poblenou",280
"2019","2","10","Sant Martí","67","la Vila Olímpica del Poblenou",553
"2019","2","10","Sant Martí","68","el Poblenou",306
"2019","2","10","Sant Martí","69","Diagonal Mar i el Front Marítim del Poblenou",806
"2019","2","10","Sant Martí","70","el Besòs i el Maresme",375
"2019","2","10","Sant Martí","71","Provençals del Poblenou",324
"2019","2","10","Sant Martí","72","Sant Martí de Provençals",261
"2019","2","10","Sant Martí","73","la Verneda i la Pau",168
"2019","2","1","Ciutat Vella","1","el Raval",338
"2019","2","1","Ciutat Vella","2","el Barri Gòtic",617
"2019","2","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",401
"2019","2","2","Eixample","5","el Fort Pienc",2039
"2019","2","2","Eixample","7","la Dreta de l'Eixample",805
"2019","2","2","Eixample","9","la Nova Esquerra de l'Eixample",247
"2019","2","3","Sants-Montjuïc","11","el Poble Sec",176
"2019","2","4","Les Corts","19","les Corts",575
"2019","2","5","Sarrià-Sant Gervasi","25","Sant Gervasi - la Bonanova",719
"2019","2","5","Sarrià-Sant Gervasi","26","Sant Gervasi - Galvany",531
"2019","2","5","Sarrià-Sant Gervasi","27","el Putxet i el Farró",307
"2019","2","6","Gràcia","28","Vallcarca i els Penitents",290
"2019","2","6","Gràcia","31","la Vila de Gràcia",285
"2019","2","7","Horta-Guinardó","35","el Guinardó",320
"2019","2","7","Horta-Guinardó","37","el Carmel",234
"2019","2","7","Horta-Guinardó","38","la Teixonera",172
"2019","2","7","Horta-Guinardó","39","Sant Genís dels Agudells",195
"2019","2","7","Horta-Guinardó","40","Montbau",165
"2019","2","7","Horta-Guinardó","41","la Vall d'Hebron",191
"2019","2","7","Horta-Guinardó","43","Horta",200
"2019","2","9","Sant Andreu","60","Sant Andreu",325
"2019","2","10","Sant Martí","64","el Camp de l'Arpa del Clot",411
"2019","2","10","Sant Martí","65","el Clot",301
"2019","2","10","Sant Martí","70","el Besòs i el Maresme",480
"2019","2","1","Ciutat Vella","1","el Raval",202
"2019","2","1","Ciutat Vella","2","el Barri Gòtic",394
"2019","2","1","Ciutat Vella","3","la Barceloneta",221
"2019","2","1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera",248
"2019","2","2","Eixample","5","el Fort Pienc",520
"2019","2","2","Eixample","6","la Sagrada Família",255
"2019","2","2","Eixample","7","la Dreta de l'Eixample",568
